city_town,ward,precinct,Biden/ Harris,Trump/ Pence,Jorgensen/ Cohen,Hawkins/ Walker,All Others,No Preference,Blanks,Total Votes Cast
Braintree,-,1A,1022,818,21,7,6,0,5,1879
Braintree,-,1B,973,748,19,3,7,0,17,1767
Braintree,-,2A,1133,724,16,8,17,0,12,1910
Braintree,-,2B,1057,767,20,10,12,0,15,1881
Braintree,-,3A,926,610,20,8,10,0,7,1581
Braintree,-,3B,1000,663,17,10,4,0,11,1705
Braintree,-,4A,948,625,11,9,8,0,13,1614
Braintree,-,4B,1085,570,20,8,12,0,14,1709
Braintree,-,5A,1001,690,16,9,13,0,17,1746
Braintree,-,5B,1181,817,25,11,8,0,27,2069
Braintree,-,6A,1177,881,23,5,8,0,8,2102
Braintree,-,6B,1109,831,24,6,8,0,12,1990
Brewster,-,1,1673,796,41,8,6,0,22,2546
Brewster,-,2,1684,735,31,15,8,0,18,2491
Brewster,-,3,1583,807,30,15,4,0,18,2457
Bridgewater,-,1,1465,1377,37,16,18,0,19,2932
Bridgewater,-,2,1256,1088,39,12,11,0,12,2418
Bridgewater,-,3,1513,1550,34,7,10,0,17,3131
Bridgewater,-,4,681,571,18,3,3,0,11,1287
Bridgewater,-,5,412,279,17,6,3,0,6,723
Bridgewater,-,6,1102,749,36,14,12,0,9,1922
Bridgewater,-,7,1259,958,39,14,7,0,13,2290
Brimfield,-,1,1063,1193,44,11,3,0,35,2349
Brockton,1,A,1004,189,13,6,1,0,6,1219
Brockton,1,B,1209,345,19,5,6,0,8,1592
Brockton,1,C,1038,331,9,5,0,0,7,1390
Brockton,1,D,1325,624,12,13,0,0,24,1998
Brockton,2,A,832,103,15,3,2,0,6,961
Brockton,2,B,748,93,1,4,3,0,3,852
Brockton,2,C,728,119,6,5,2,0,4,864
Brockton,2,D,1023,259,12,3,1,0,7,1305
Brockton,3,A,1032,249,6,3,0,0,5,1295
Brockton,3,B,961,167,9,6,1,0,12,1156
Brockton,3,C,1235,516,10,6,3,0,7,1777
Brockton,3,D,1188,590,15,6,4,0,7,1810
Brockton,4,A,759,118,6,1,0,0,8,892
Brockton,4,B,1139,297,15,3,0,0,11,1465
Brockton,4,C,1057,404,17,3,5,0,7,1493
Brockton,4,D,1034,379,9,3,7,0,10,1442
Brockton,5,A,1047,195,10,3,4,0,6,1265
Brockton,5,B,1129,411,24,6,1,0,11,1582
Brockton,5,C,1093,245,12,6,0,0,10,1366
Brockton,5,D,1093,435,16,3,0,0,12,1559
Brockton,6,A,962,234,21,2,3,0,12,1234
Brockton,6,B,1220,532,17,5,1,0,13,1788
Brockton,6,C,1147,355,12,8,5,0,7,1534
Brockton,6,D,1060,553,15,10,4,0,9,1651
Brockton,7,A,984,159,10,3,0,0,4,1160
Brockton,7,B,1231,240,9,11,1,0,4,1496
Brockton,7,C,1089,205,12,8,3,0,9,1326
Brockton,7,D,1108,342,16,3,0,0,13,1482
Brookfield,-,1,946,1054,34,16,4,0,8,2062
Brookline,-,1,1669,153,16,2,7,0,10,1857
Brookline,-,2,1100,152,7,7,7,0,4,1277
Brookline,-,3,1722,185,11,5,9,0,13,1945
Brookline,-,4,1507,218,19,11,7,0,14,1776
Brookline,-,5,1869,192,15,13,6,0,21,2116
Brookline,-,6,1848,157,10,13,8,0,6,2042
Brookline,-,7,1608,173,18,6,3,0,12,1820
Brookline,-,8,1734,116,5,16,0,0,12,1883
Brookline,-,9,1724,199,16,9,2,0,16,1966
Brookline,-,10,1738,207,14,7,2,0,23,1991
Brookline,-,11,1851,203,14,10,7,0,13,2098
Brookline,-,12,2077,239,28,7,10,0,18,2379
Brookline,-,13,1789,216,21,9,18,0,17,2070
Brookline,-,14,1754,317,27,10,16,0,16,2140
Brookline,-,15,1694,412,13,10,12,0,17,2158
Brookline,-,16,1466,279,9,13,11,0,9,1787
Buckland,-,1,889,268,18,14,2,0,12,1203
Burlington,-,1,1448,941,23,11,11,0,20,2454
Burlington,-,2,1048,539,21,13,7,0,7,1635
Burlington,-,3,1390,804,34,7,12,0,14,2261
Burlington,-,4,1257,710,19,8,10,0,12,2016
Burlington,-,5,1413,856,36,11,9,0,15,2340
Burlington,-,6,1320,915,31,12,6,0,12,2296
Burlington,-,7,1571,801,32,14,6,0,5,2429
Cambridge,1,1,1898,227,26,5,7,0,11,2174
Cambridge,1,2,1447,190,19,16,12,0,6,1690
Cambridge,1,3,1600,201,16,11,8,0,19,1855
