office_branch,office_id,office,district,district_display,district_id
Legislative,9,State Senate,Second Hampden,2nd Hampden,64704
Legislative,9,State Senate,Middlesex and Norfolk,Middlesex and Norfolk,64693
Legislative,9,State Senate,Norfolk,Norfolk,64700
Legislative,9,State Senate,Norfolk and Bristol,Norfolk and Bristol,64694
Legislative,9,State Senate,Plymouth,Plymouth,64701
Legislative,9,State Senate,First Suffolk and Norfolk,1st Suffolk and Norfolk,64695
Legislative,9,State Senate,Second Suffolk and Norfolk,2nd Suffolk and Norfolk,64696
Legislative,9,State Senate,"Suffolk, Essex and Middlesex","Suffolk, Essex and Middlesex",64879
Legislative,9,State Senate,Worcester,Worcester,64705
Legislative,9,State Senate,First Worcester and Middlesex,1st Worcester and Middlesex,64697
Legislative,9,State Senate,Second Worcester and Middlesex,2nd Worcester and Middlesex,64698
Legislative,9,State Senate,Berkshire,Berkshire,64699
Legislative,5,U.S. House,1,1st Congressional,58684
Legislative,5,U.S. House,2,2nd Congressional,58685
Legislative,5,U.S. House,3,3rd Congressional,58686
Legislative,5,U.S. House,4,4th Congressional,58687
Legislative,5,U.S. House,5,5th Congressional,58688
Legislative,5,U.S. House,6,6th Congressional,58689
Legislative,5,U.S. House,7,7th Congressional,58690
Legislative,5,U.S. House,8,8th Congressional,58691
Legislative,5,U.S. House,9,9th Congressional,58692
Legislative,5,U.S. House,10,10th Congressional,58693
Legislative,6,U.S. Senate,Class 1,Class 1,1
Executive,529,Governor's Council,First,1st,64603
Executive,529,Governor's Council,Second,2nd,64604
Executive,529,Governor's Council,Third,3rd,64605
Executive,529,Governor's Council,Fourth,4th,64606
Executive,529,Governor's Council,Fifth,5th,64607
Executive,529,Governor's Council,Sixth,6th,64608
Executive,529,Governor's Council,Seventh,7th,64609
Executive,529,Governor's Council,Eighth,8th,64610
Executive,3,Governor,NA,NA,NA
Legislative,6,U.S. Senate,Class 2,Class 2,2
Executive,1,President,NA,NA,NA
Legislative,8,State Representative,Fifth Barnstable,5th Barnstable,58737
Legislative,8,State Representative,Eighteenth Essex,18th Essex,58773
Legislative,8,State Representative,Eighteenth Worcester,18th Worcester,58891
Legislative,9,State Senate,"Berkshire, Hampshire and Franklin","Berkshire, Hampshire and Franklin",58694
Legislative,9,State Senate,Bristol and Norfolk,Bristol and Norfolk,58695
Legislative,9,State Senate,First Bristol and Plymouth,1st Bristol and Plymouth,58696
Legislative,9,State Senate,Second Bristol and Plymouth,2nd Bristol and Plymouth,58697
Legislative,9,State Senate,Third Essex and Middlesex,3rd Essex and Middlesex,58702
Legislative,9,State Senate,Middlesex and Essex,Middlesex and Essex,58711
Legislative,9,State Senate,Second Middlesex and Norfolk,2nd Middlesex and Norfolk,58713
Legislative,9,State Senate,First Suffolk and Middlesex,1st Suffolk and Middlesex,58725
Legislative,9,State Senate,Second Suffolk and Middlesex,2nd Suffolk and Middlesex,58726
Legislative,9,State Senate,"Hampshire, Franklin and Worcester","Hampshire, Franklin and Worcester",64949
Legislative,9,State Senate,"Worcester, Hampden, Hampshire and Middlesex","Worcester, Hampden, Hampshire and Middlesex",64950
Legislative,8,State Representative,Nineteenth Worcester,19th Worcester,64670
Legislative,9,State Senate,"Berkshire, Hampden, Franklin & Hampshire","Berkshire, Hampden, Franklin & Hampshire",65020
Legislative,9,State Senate,First Plymouth & Norfolk,First Plymouth & Norfolk,65029
Legislative,9,State Senate,"Hampden, Hampshire & Worcester","Hampden, Hampshire & Worcester",65023
Legislative,9,State Senate,Norfolk & Middlesex,Norfolk & Middlesex,65028
Legislative,9,State Senate,"Norfolk, Plymouth & Bristol","Norfolk, Plymouth & Bristol",65027
Legislative,9,State Senate,"Norfolk, Worcester & Middlesex","Norfolk, Worcester & Middlesex",65024
Legislative,9,State Senate,Second Plymouth & Norfolk,Second Plymouth & Norfolk,65021
Legislative,9,State Senate,Third Bristol & Plymouth,Third Bristol & Plymouth,65025
Legislative,9,State Senate,Worcester & Hampden,Worcester & Hampden,65026
Legislative,9,State Senate,Worcester & Hampshire,Worcester & Hampshire,65022
Legislative,9,State Senate,Third Suffolk,3rd Suffolk,64948
Legislative,9,State Senate,"Berkshire, Hampshire, Franklin & Hampden","Berkshire, Hampshire, Franklin & Hampden",64970
