City/Town,PVI_N,PVI,Biden_20,Trump_20,Clinton_16,Trump_16
Plympton,-3.0565071592669693,R+3,962,912,727,883
Princeton,7.5972524111993955,D+8,1530,977,1183,898
Provincetown,40.46309143247807,D+40,2402,182,2082,208
Quincy,15.37107850690682,D+15,30446,14340,25477,13321
Randolph,27.647905781037817,D+28,13676,3523,11509,3098
Raynham,-2.646519427695637,R+3,4372,4243,3327,3806
Reading,13.343462623699354,D+13,11134,5444,8848,5373
Rehoboth,-5.852222615585967,R+6,3650,4076,2784,3574
Revere,12.70297540046047,D+13,13360,7203,11964,6895
Richmond,26.451514696181455,D+26,828,215,706,218
Rochester,-5.935034104958092,R+6,1762,1991,1368,1743
Rockland,1.640756662451881,D+2,5400,4319,4403,4313
Rockport,20.752517473897836,D+21,3861,1306,3122,1371
Rowe,4.843333617854073,D+5,152,113,122,99
Rowley,-0.8256745639296903,R+1,2180,1942,1679,1809
