city_town,ward,precinct,State_Rep,State_Senate,Gov_Council,US_House,Biden_20,Trump_20,Clinton_16,Trump_16,Harris_24,Trump_24
Tewksbury,-,6,Nineteenth Middlesex,Second Essex and Middlesex,Fifth,6,1127.4249574230594,1140.1040696938487,863.3544961824595,1070.657069354384,1006,1232
Tewksbury,-,7,Eighteenth Essex,Second Essex and Middlesex,Fifth,6,1371.6819677316355,1151.864642669227,1011.993834098264,1082.2872298709249,1255,1249
Tewksbury,-,8,Nineteenth Middlesex,Second Essex and Middlesex,Fifth,6,1331.0465376101165,1154.1065331299478,1038.9959931124426,1078.5478061490594,1144,1137
Tisbury,-,1,"Barnstable, Dukes and Nantucket",Cape and Islands,First,9,2225,542,1942,476,2031,548
Tolland,-,1,Third Hampden,"Berkshire, Hampden, Franklin & Hampshire",Eighth,1,136,186,101,190,148,175
Topsfield,-,1,Second Essex,First Essex and Middlesex,Fifth,6,1262.3930583041558,822.0949916273405,1077.65261074745,803.62094687167,1283,899
Topsfield,-,2,Thirteenth Essex,First Essex and Middlesex,Fifth,6,1197.6069416958442,779.9050083726595,1022.34738925255,762.37905312833,1197,786
Townsend,-,1,First Middlesex,Worcester and Middlesex,Seventh,3,854,894,645,884,825,982
Townsend,-,2,First Middlesex,Worcester and Middlesex,Seventh,3,890,851,699,803,851,957
Townsend,-,3,First Middlesex,Worcester and Middlesex,Seventh,3,943,875,738,863,881,907
Truro,-,1,Fourth Barnstable,Cape and Islands,First,9,1386,340,1095,361,1434,358
Tyngsborough,-,1,Thirty-Sixth Middlesex,First Middlesex,Fifth,3,1017.2592121982212,909.3503811944092,783.337039390089,883.6969504447268,895,917
Tyngsborough,-,2,Thirty-Sixth Middlesex,First Middlesex,Fifth,3,941.4872666750184,851.2031399323513,720.2305662437138,792.8734720904844,889,897
Tyngsborough,-,3,Thirty-Sixth Middlesex,First Middlesex,Fifth,3,905.9830985915492,702.1369014084507,651.8045070422535,641.7380281690141,870,823
Tyngsborough,-,4,Thirty-Sixth Middlesex,First Middlesex,Fifth,3,1169.2704225352113,912.3095774647888,905.6278873239436,848.6915492957746,1113,938
Tyringham,-,1,Third Berkshire,"Berkshire, Hampden, Franklin & Hampshire",Eighth,1,234,72,201,70,224,81
Upton,-,1,Ninth Worcester,Worcester & Hampden,Seventh,2,1121.0543933054394,673.5746984986463,816.9027811961605,615.0322421855772,1134,657
Upton,-,2,Ninth Worcester,Worcester & Hampden,Seventh,2,1062.46056562406,681.3208307110683,765.7044784421836,623.5713245366929,1038,821
Upton,-,3,Ninth Worcester,Worcester & Hampden,Seventh,2,989.4850410705004,633.1044707902854,713.392740361656,579.39643327773,914,714
Uxbridge,-,1,Eighteenth Worcester,Worcester & Hampden,Seventh,2,1012.2871874313385,1060.9287156532505,800.6293060591713,979.3439772483348,998,1216
Uxbridge,-,1A,Eighth Worcester,Worcester & Hampden,Seventh,2,75.53934593802111,79.1690957490729,59.7449171237522,73.08104301645851,80,43
Uxbridge,-,2,Eighth Worcester,Worcester & Hampden,Seventh,2,1065.1734666306404,849.9021885976763,812.6257768170765,758.5749797352067,949,948
Uxbridge,-,3,Eighth Worcester,Worcester & Hampden,Seventh,2,1044,1055,741,940,1019,1219
Uxbridge,-,4,Eighth Worcester,Worcester & Hampden,Seventh,2,1154,1048,852,947,1126,1159
Wakefield,-,1,Ninth Essex,Fifth Middlesex,Sixth,6,1309.5552668086227,962.9829244865512,1069.3726895733714,973.8187836965932,1153,1025
Wakefield,-,2,Ninth Essex,Fifth Middlesex,Sixth,6,1332.0080673641296,833.1029480896261,1037.4364265182933,790.605794495298,1293,857
Wakefield,-,3,Ninth Essex,Fifth Middlesex,Sixth,6,1526.4438299720216,927.6329094597248,1190.906881980976,918.5620532323916,1379,949
Wakefield,-,4,Thirty-Second Middlesex,Fifth Middlesex,Sixth,6,1491.056250125223,835.9007333052834,1384.7288774017752,929.892608843742,1455,839
Wakefield,-,5,Thirty-Second Middlesex,Fifth Middlesex,Sixth,6,1548.0330560843822,811.8347836534018,1242.718572599178,841.7199514506281,1484,874
Wakefield,-,6,Thirty-Second Middlesex,Fifth Middlesex,Sixth,6,1510.044552058111,776.1384987893463,1200.33995157385,739.5370460048426,1494,794
Wakefield,-,7,Ninth Essex,Fifth Middlesex,Sixth,6,1497.8589775875091,884.4072022160665,1168.496600352556,865.8637622765046,1327,932
Wales,-,1,First Hampden,Worcester & Hampden,Seventh,1,429,619,365,550,434,673
Walpole,-,1,Twelfth Norfolk,Norfolk and Suffolk,Fourth,8,1219,690,938,694,1077,711
Walpole,-,2,Twelfth Norfolk,Norfolk and Suffolk,Fourth,8,1230.013810030249,906.4141248544524,935.3883648322634,829.6699285251801,1068,971
